date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2012-03-30,sh.000986,3004.6800,3024.4600,2981.7000,3003.7900,2996.1500,273121700,3626910000.0000,3,0.000920,1,0.254999,0
2012-04-05,sh.000986,3001.7900,3087.8300,2992.9200,3080.8900,3003.7900,388525700,5264560000.0000,3,0.001309,1,2.566752,0
2012-04-06,sh.000986,3080.6300,3100.4100,3061.3900,3090.9000,3080.8900,330984300,4567340000.0000,3,0.001115,1,0.324906,0
2012-04-09,sh.000986,3077.7900,3089.7000,3050.4400,3052.0500,3090.9000,303097200,4697840000.0000,3,0.001021,1,-1.256911,0
2012-04-10,sh.000986,3039.4900,3088.8400,3007.2500,3088.4500,3052.0500,342480600,4765740000.0000,3,0.001154,1,1.192638,0
2012-04-11,sh.000986,3055.1200,3104.1700,3046.5800,3082.9800,3088.4500,294351300,4013970000.0000,3,0.000992,1,-0.177111,0
2012-04-12,sh.000986,3094.1800,3171.3200,3094.1800,3166.5900,3082.9800,525279800,7554670000.0000,3,0.001770,1,2.711990,0
2012-04-13,sh.000986,3169.3300,3202.2900,3159.8600,3186.1500,3166.5900,567167100,7574950000.0000,3,0.001911,1,0.617693,0
2012-04-16,sh.000986,3161.0900,3193.4100,3155.3200,3175.1000,3186.1500,350350500,4557250000.0000,3,0.001177,1,-0.346807,0
2012-04-17,sh.000986,3174.1600,3186.1800,3129.4900,3130.2000,3175.1000,312002600,3854510000.0000,3,0.001048,1,-1.414133,0
2012-04-18,sh.000986,3145.1400,3216.2100,3138.4500,3213.3400,3130.2000,497570400,6354070000.0000,3,0.001671,1,2.656065,0
2012-04-19,sh.000986,3212.4000,3221.9200,3198.2200,3207.8900,3213.3400,408324400,6015220000.0000,3,0.001371,1,-0.169611,0
2012-04-20,sh.000986,3204.2400,3241.9700,3196.6900,3238.0000,3207.8900,469749000,6013310000.0000,3,0.001578,1,0.938627,0
2012-04-23,sh.000986,3234.7700,3242.9300,3197.7400,3205.3900,3238.0000,428389600,5673410000.0000,3,0.001439,1,-1.007106,0
2012-04-24,sh.000986,3186.9100,3244.8300,3136.5600,3207.7600,3205.3900,565623300,7442200000.0000,3,0.001896,1,0.073942,0
2012-04-25,sh.000986,3193.9800,3252.5400,3184.3500,3244.0100,3207.7600,673472100,8392550000.0000,3,0.002258,1,1.130072,0
2012-04-26,sh.000986,3249.6900,3290.5600,3236.3900,3256.0300,3244.0100,605735700,8191100000.0000,3,0.002031,1,0.370530,0
2012-04-27,sh.000986,3250.4700,3269.0200,3240.6300,3249.9900,3256.0300,469375500,5855500000.0000,3,0.001573,1,-0.185503,0
2012-05-02,sh.000986,3299.3000,3402.7300,3270.9700,3373.7700,3249.9900,933365500,13997290000.0000,3,0.003129,1,3.808628,0
2012-05-03,sh.000986,3358.7800,3390.8700,3355.5700,3385.9600,3373.7700,648786300,9631230000.0000,3,0.002175,1,0.361315,0
2012-05-04,sh.000986,3379.4500,3407.3300,3350.4200,3397.2900,3385.9600,636908000,9440610000.0000,3,0.002135,1,0.334619,0
2012-05-07,sh.000986,3371.1100,3385.3700,3343.3800,3385.3700,3397.2900,642646200,10057320000.0000,3,0.002154,1,-0.350866,0
2012-05-08,sh.000986,3382.9000,3383.3400,3336.6500,3371.2700,3385.3700,604346700,8918890000.0000,3,0.002026,1,-0.416501,0
2012-05-09,sh.000986,3338.8100,3343.0000,3294.1000,3297.9900,3371.2700,623089900,8879110000.0000,3,0.002089,1,-2.173662,0
2012-05-10,sh.000986,3294.9700,3333.3000,3294.9500,3312.2900,3297.9900,519624700,7400420000.0000,3,0.001742,1,0.433599,0
2012-05-11,sh.000986,3306.9900,3348.9200,3288.7400,3293.1700,3312.2900,443455700,7389680000.0000,3,0.001486,1,-0.577248,0
2012-05-14,sh.000986,3321.2100,3323.6500,3246.9300,3248.3700,3293.1700,509388400,7254880000.0000,3,0.001707,1,-1.360386,0
